Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
100.0,99.83,99.26,100.46,101.0,99.3,99.74,99.13,98.31,26219110.0,32690080.0,28218240.0,99.56
177.81,174.95,170.6,178.82,175.39,171.22,176.88,172.66,165.43,20544600.0,34693280.0,65270950.0,176.49
228.99,226.23,221.85,229.67,227.35,225.37,225.1,221.3,220.71,33290830.0,34121240.0,37418910.0,228.41
118.75,117.05,116.55,118.81,118.11,116.79,116.86,116.08,114.22,34806250.0,33316990.0,41511380.0,117.99
267.48,270.0,268.6,271.0,270.8,270.07,267.3,264.91,265.86,26547490.0,32182650.0,22632380.0,263.79
189.5,190.71,188.5,190.68,191.28,189.78,189.3,190.18,187.61,19636390.0,15801370.0,18776390.0,185.42
119.21,118.29,117.99,119.23,118.41,119.41,117.92,117.6,117.75,21341960.0,13046450.0,38063130.0,117.33
189.01,186.78,186.07,189.53,187.07,188.46,187.86,185.1,186.0,20393070.0,23639070.0,19046600.0,189.49
237.52,241.16,242.1,240.99,242.2,243.24,237.32,239.62,241.22,22367480.0,22684000.0,19932550.0,234.59
111.79,116.58,115.93,114.21,116.89,116.53,111.76,114.86,114.42,49793750.0,58279570.0,43218350.0,110.27
145.52,145.77,145.13,146.07,146.7,147.16,144.61,145.12,145.11,21247590.0,19082170.0,35421310.0,146.87
174.17,174.68,170.8,176.02,175.42,171.47,174.1,174.5,169.68,20848660.0,16339690.0,33113340.0,174.87
129.08,130.97,132.85,129.62,132.97,132.92,128.31,130.7,130.32,45970470.0,55204920.0,73006780.0,127.74
365.0,360.7,364.41,368.79,365.0,365.32,358.52,357.57,353.02,48155850.0,34380630.0,51314210.0,364.0
94.6,95.7,96.49,95.66,96.5,96.89,94.37,95.62,96.05,30877540.0,24460850.0,28877500.0,95.39
116.86,116.81,117.1,117.38,116.91,117.74,116.33,116.28,117.0,24100150.0,22527690.0,23492650.0,117.25
167.41,172.86,174.65,171.66,175.08,175.57,167.28,172.35,172.85,31384720.0,36054570.0,28204640.0,166.96
184.85,185.8,188.35,187.33,188.39,188.99,183.74,185.79,185.92,39017490.0,26148590.0,31440300.0,183.9
155.19,145.74,147.16,155.19,146.09,147.45,146.02,142.51,145.15,64782910.0,72187710.0,34089190.0,155.25
111.09,107.12,107.71,111.09,108.87,107.81,105.83,106.55,104.08,57097740.0,34117030.0,50901380.0,109.88
197.77,200.29,198.68,200.99,201.57,199.5,197.35,199.57,197.05,26067510.0,20899720.0,31110640.0,198.43
107.25,104.64,102.65,107.27,105.72,105.72,105.24,103.13,102.53,52955310.0,46461610.0,45114590.0,107.83
104.81,105.58,106.27,105.84,106.0,107.65,104.77,105.28,106.18,30148360.0,26781730.0,39546610.0,106.05
133.47,135.52,135.67,135.09,136.27,135.9,133.25,134.62,134.84,33054500.0,35578640.0,22539860.0,133.08
175.05,174.3,172.63,175.08,174.87,172.92,173.34,171.86,167.16,20591090.0,26387240.0,41459120.0,175.1
107.12,107.71,106.57,108.87,107.81,107.68,106.55,104.08,106.16,34117030.0,50901380.0,32230590.0,111.09
